Company;Alpha;h*
OGK4;0.990000;0.297000
OGK6;0.990000;0.003000
OGKA;0.990000;0.021000
OGKB;0.990000;0.057000
OGKB-004D;0.990000;0.003000
OGKC;0.990000;0.003000
OGKE;0.990000;0.297000
OMSB;0.450000;0.033000
OMSBP;0.590000;0.015000
OMSH;0.460000;0.210000
OMZZ;0.860000;0.297000
OMZZP;0.990000;0.000000
OPIN;0.850000;0.069000
ORSB;0.360000;0.006000
ORSBP;0.990000;0.048000
OSFD;0.990000;0.297000
OSMP;0.560000;0.297000
OTCP;0.990000;0.024000
PAZA;0.790000;0.027000
PBSB;0.640000;0.072000
PBSBP;0.240000;0.288000
PDMS;0.460000;0.228000
PGIL;0.990000;0.060000
PHOR;0.990000;0.297000
PHST;0.990000;0.042000
PIKK;0.990000;0.024000
PKBA;0.990000;0.297000
PKBAP;0.900000;0.297000
PLSM;0.900000;0.003000
PLZL;0.990000;0.297000
PMOT;0.790000;0.003000
PMSB;0.450000;0.177000
PMSBP;0.530000;0.033000
PMTL;0.990000;0.297000
POLY;0.990000;0.231000
PRFN;0.900000;0.297000
PRIM;0.410000;0.003000
PRIN;0.990000;0.297000
PRMB;0.990000;0.000000
PRTK;0.990000;0.297000
PSBR;0.990000;0.015000
PZSB;0.820000;0.297000
PZSBP;0.170000;0.297000
QIWI;0.990000;0.036000
RAOVP;0.830000;0.021000
RASP;0.990000;0.297000
RBCI;0.990000;0.006000
RBCM;0.990000;0.009000
RDRB;0.010000;0.153000
REBR;0.800000;0.297000
RGSS;0.990000;0.003000
RITK;0.990000;0.297000
RITKP;0.850000;0.081000
RKKE;0.780000;0.168000
RLMN;0.760000;0.297000
RLMNP;0.850000;0.297000
RNAV;0.930000;0.297000
RNFT;0.690000;0.297000
RNHS;0.210000;0.162000
RNHSP;0.560000;0.006000
RODN;0.990000;0.297000
RODNP;0.610000;0.033000
ROLO;0.970000;0.297000
ROLO-002D;0.870000;0.015000
ROSB;0.860000;0.297000
ROSN;0.990000;0.129000
ROST;0.820000;0.297000
RSAM;0.240000;0.297000
RSEA;0.690000;0.030000
RSTI;0.990000;0.048000
RSTIP;0.990000;0.036000
RTGZ;0.610000;0.000000
RTKM;0.990000;0.033000
RTKM-002D;0.990000;0.198000
RTKM-003D;0.990000;0.051000
RTKM-004D;0.990000;0.297000
RTKM-005D;0.990000;0.021000
RTKM-006D;0.990000;0.261000
RTKM-007D;0.990000;0.165000
RTKM-008D;0.990000;0.297000
RTKM-009D;0.990000;0.297000
RTKM-010D;0.990000;0.297000
RTKM-011D;0.990000;0.057000
RTKM-012D;0.990000;0.006000
RTKM-013D;0.990000;0.006000
RTKM-014D;0.990000;0.282000
RTKM-015D;0.990000;0.297000
RTKM-016D;0.990000;0.297000
RTKM-017D;0.990000;0.234000
RTKMP;0.990000;0.297000
RTMC;0.990000;0.297000
RTSB;0.480000;0.006000
RTSBP;0.590000;0.003000
RU0008913751;0.740000;0.297000
RU0008913868;0.680000;0.021000
RU0009011126;0.950000;0.297000
RU0009011134;0.870000;0.012000
RU14APTK1007;0.990000;0.171000
RU14AVAN8010;0.640000;0.297000
RU14BISV2001;0.800000;0.297000
RU14BISV2019;0.430000;0.297000
RU14BISV4007;0.630000;0.297000
RU14BISV4015;0.440000;0.297000
RU14INUR2017;0.990000;0.015000
RU14MGTS2012;0.770000;0.039000
RU14MGTS5007;0.440000;0.051000
RU14TATN3006;0.990000;0.297000
RU14TATN3014;0.990000;0.297000
RUAL;0.990000;0.003000
RUALR;0.990000;0.297000
RUGR;0.990000;0.000000
RUSI;0.660000;0.006000
RUSP;0.420000;0.003000
RZSB;0.600000;0.297000
SAGO;0.400000;0.042000
SAGOP;0.410000;0.042000
SARE;0.570000;0.018000
SAREP;0.530000;0.012000
SBER;0.990000;0.006000
SBER03;0.990000;0.243000
SBERP;0.990000;0.036000
SBERP03;0.990000;0.297000
SCOH;0.990000;0.297000
SCON;0.990000;0.207000
SELG;0.990000;0.009000
SELG-002D;0.540000;0.009000
SELG-003D;0.010000;0.297000
SELGP;0.510000;0.297000
SELL;0.830000;0.000000
SEMZ;0.930000;0.297000
SIBG;0.900000;0.297000
SIBN;0.990000;0.033000
SILM;0.990000;0.297000
SILV;0.990000;0.000000
SITR;0.630000;0.003000
SKRN;0.530000;0.003000
SKYC;0.550000;0.003000
SMSB;0.500000;0.003000
SMSBP;0.350000;0.003000
SNGS;0.990000;0.297000
SNGSP;0.990000;0.297000
SNOS;0.990000;0.297000
SNTZ;0.730000;0.000000
SOFR;0.010000;0.000000
SOVT;0.290000;0.123000
SPTL;0.990000;0.249000
SPTLP;0.910000;0.030000
STKM;0.990000;0.192000
STKMP;0.990000;0.078000
STSB;0.620000;0.063000
STSBP;0.760000;0.039000
SUMZ;0.430000;0.297000
SVAV;0.990000;0.024000
SVSB;0.720000;0.297000
SVSBP;0.670000;0.003000
SVTZ;0.570000;0.072000
SXPNP;0.990000;0.291000
SYNG;0.990000;0.087000
SZPR;0.670000;0.063000
SZRP;0.990000;0.057000
TAER;0.930000;0.219000
TAMZ;0.650000;0.297000
TANL;0.990000;0.297000
TASB;0.520000;0.012000
TASBP;0.470000;0.021000
TATB;0.990000;0.129000
TATN;0.990000;0.297000
TATNP;0.990000;0.297000
TAVR;0.560000;0.006000
TCBN;0.690000;0.297000
TGK13;0.990000;0.003000
TGKA;0.990000;0.003000
TGKB;0.990000;0.003000
TGKBP;0.160000;0.003000
TGKD;0.990000;0.003000
TGKDP;0.280000;0.003000
TGKE;0.990000;0.003000
TGKF;0.990000;0.003000
TGKI;0.760000;0.003000
TGKJ;0.990000;0.285000
TGKK;0.930000;0.003000
TGKK-001D;0.910000;0.297000
TGKK-002D;0.750000;0.297000
TGKN;0.900000;0.003000
TGKO;0.990000;0.297000
TGMK;0.450000;0.231000
TLSB;0.410000;0.021000
TNBP;0.990000;0.291000
TNBPP;0.990000;0.297000
TNSE;0.840000;0.120000
TORS;0.420000;0.003000
TORSP;0.490000;0.006000
TOSB;0.450000;0.012000
TOSBP;0.860000;0.030000
TRCN;0.690000;0.297000
TRHN;0.840000;0.015000
TRMK;0.990000;0.297000
TRNFP;0.990000;0.000000
TRUDP;0.990000;0.051000
TSKA;0.990000;0.297000
TTLK;0.610000;0.006000
TUCH;0.990000;0.000000
TUCH-001D;0.990000;0.045000
TUMA;0.990000;0.018000
TUMAP;0.900000;0.018000
TUZA;0.620000;0.297000
TVSB;0.250000;0.003000
TVSBP;0.460000;0.045000
TZUM;0.630000;0.012000
UAZA;0.390000;0.297000
UCSS;0.590000;0.297000
UCSS-001D;0.010000;0.003000
UDSB;0.540000;0.297000
UDSBP;0.560000;0.183000
UFMO;0.410000;0.003000
UFNC;0.930000;0.105000
UFNCP;0.990000;0.030000
UFOS;0.990000;0.012000
UFOSP;0.170000;0.045000
UKUZ;0.660000;0.297000
UNAC;0.990000;0.039000
UNAC-004D;0.990000;0.006000
UNKL;0.670000;0.207000
UPRO;0.990000;0.297000
URFD;0.480000;0.168000
URKA;0.990000;0.297000
URKA-004D;0.990000;0.258000
URKA-005D;0.990000;0.297000
URKZ;0.730000;0.000000
URSAP;0.990000;0.015000
URSI;0.990000;0.003000
URSIP;0.990000;0.003000
USBN;0.960000;0.009000
USYN;0.630000;0.297000
UTAR;0.990000;0.297000
UTEL;0.990000;0.006000
UTELP;0.830000;0.297000
UTII;0.990000;0.027000
UTSY;0.550000;0.042000
UUAZ;0.910000;0.024000
UWGN;0.930000;0.297000
UWGN-001D;0.820000;0.099000
VDSB;0.480000;0.297000
VFRM;0.990000;0.114000
VGSB;0.600000;0.297000
VGSBP;0.560000;0.297000
VJGZ;0.330000;0.171000
VJGZP;0.390000;0.153000
VLHZ;0.950000;0.018000
VOSB;0.890000;0.006000
VRAO;0.990000;0.024000
VRAOP;0.650000;0.018000
VRPH;0.750000;0.045000
VRSB;0.540000;0.297000
VRSBP;0.480000;0.297000
VSMO;0.990000;0.156000
VSMZ;0.840000;0.000000
VSYD;0.810000;0.273000
VSYDP;0.990000;0.000000
VTBR;0.990000;0.006000
VTBR-002D;0.920000;0.018000
VTEL;0.990000;0.297000
VTELP;0.980000;0.297000
VTGK;0.870000;0.087000
VTGK-010D;0.010000;0.003000
VTPR;0.470000;0.006000
VTRS;0.740000;0.006000
VZRZ;0.990000;0.297000
VZRZP;0.990000;0.147000
WBDF;0.990000;0.000000
WTCM;0.560000;0.081000
WTCMP;0.380000;0.003000
YAKG;0.790000;0.126000
YASH;0.810000;0.024000
YKEN;0.610000;0.039000
YKENP;0.560000;0.024000
YKST;0.990000;0.000000
YNDX;0.990000;0.060000
YRSB;0.730000;0.297000
YRSBP;0.490000;0.297000
YRSL;0.660000;0.126000
ZHIV;0.990000;0.009000
ZHIV-001D;0.990000;0.042000
ZILL;0.990000;0.225000
ZMZN;0.610000;0.297000
ZMZNP;0.730000;0.297000
ZOYA;0.990000;0.297000
ZVEZ;0.770000;0.003000
